id;coments
1;Um lugar lindo onde vc consegue entender a força da natureza. Volumoso e intenso, pode-se fazer rafting.
2;A Cachoeira  da Velha é a maior do Jalapão, ela está em todos os roteiros, sua nascente é a do Rio Novo, um dos únicos Rios de água potável do mundo. Nela não é permitido banho por causa da grande queda d'água. Contemplar a sua grandiosidade e sua beleza, nos faz entrar em maior contato com a natureza e renovar as energias! Perfeição de Deus! 
3;Cachoeira volumosa e bem bonita para ótimas fotos. Tem rafting para os que gostam de aventuras. Para completar uma praia de rio maravilhosa.
4;Deitar na cachoeira pra relaxar ao som das águas é energizante.É uma mini catarata de foz.Vale a pena a visita.Voltaria com certeza!
5;A potência das águas da Cachoeira da Velha é algo que parece mexer com nosso espírito. O volume e a força são impressionantes! Há uma passarela de acesso a região e é possível apreciar a cachoeira com relativa proximidade.A Cachoeira da Velha está muito próxima a antiga fazenda de Pablo Escobar e hoje esta funciona como um ponto de parada. Ali junto a guias tive a oportunidade de conhecer melhor sobre a região, o que levou o colombiano ali instalar uma fazenda e como isso também está relacionado a história de formação do Estado do Tocantins.Há uma trilha, porém no período visitado a mesma se encontrava fechada, pois uma onça circulava pela região com suas crias.
6;água geladinha, é uma cachoeira linda e gelada. Condições para nadar rio abaixo, nao diretamente na cachoeira
7;Já no acesso à passarela da pra ouvir o barulho da força das águas. Conforme nos aproximamos a Cachoeira da Velha se revela cada vez mais linda e intensa. Ali, no meio da cachoeira, uma árvore resolveu nascer e viver pra sempre. Confesso que fiquei com inveja, deu vontade de morar ali também. No final da passarela desçam e contemplem a cachoeira bem de pertinho, com o necessário cuidado, vale muito a pena.
8;A Cachoeira é realmente bonita, mas a trilha que leva à prainha estava desativada e me deixou com vontade, frustrado. Uma pena mesmo. Ja tem pouca coisa para ver no Jalapao, e demora um  tempao para chegar em cada lugar, ai encontrar fechado é triste.
9;Uma das atrações imperdíveis na sua viagem para o Tocantins é a cachoeira da Velha, não deixe de colocar no seu roteiro.  Se gostar de aventura, ainda tem a opção de fazer o rafting com uma empresa especializada e em total segurança. 
10;"A cachoeira da Velha é um lugar lindo!!! Traz muita paz, tranquilidade e momentos agradáveis para se refletir,. Trata-se de uma das atrações rumo ao Jalapão, ;por isso é necessário dar uma paradinha para o passeio ficar completo.Na verdade não há muito o que se fazer por lá, mas é justamente isso que é bom: apenas contemplar aquela natureza que diz tudo...ma-ra-vi-lho-sa!!!"
11;A cachoeira é muito bonita. A maior que vi no Jalapão. O rafting também é bem legal, embora seja rápido. Nele é possível chegar na parte de trás da queda, o que é bem legal.
12;Linda cachoeira! Bons pontos para fotos. Água limpa e correnteza forte. Podemos apenas contemplar. O banho ocorre numa prainha alguns metros adiante. Aí sim o banho é relaxante e refrescante. Bom local para um lanchinho.
13;Cachoeira bela com.vegatação em suas pedras, não é possível entrar apenas descer com Rafting.Tem 3 pontos interessantes para fotos 
14;Que presente de Deus, maravilhosa e bruta......recomendo rafting, ñ perca a chance de tomar um belo banho por traz do véu.
15;A Cachoeira da Velha foi a primeira atração que contemplamos  no Jalapão. A força da água é impressionante. Natureza pura!
16;A queda é muito bonita pela sua formação em forma de ferradura. Mas para ficar melhor ainda, em uma experiência pra toda vida, tem que incluir o rafting nas suas águas!
17;A cachoeira é muito bonita, grande e para quem gosta de aventuras é um bom local para praticar rafting.
18;Lugar lindo aonde se pode fazer rafting. O rafting é bem organizado e Vale a pena. No rafting está incluída ir ver os fundos da cachoeira.  
19;A Cachoeira eh linda, com muita vazão de agua, razão pela qual não eh possível entrar na agua, Fomos fazer algumas fotos e um pedacinho da trilha, e vimos um pessoal fazendo rafting ( um pouco caro).
20;A beleza da cachoeira é linda e vale super a pena fazer o rafting por lá. Super seguro. O local é bem cuidado
21;A Cachoeira da Velha (nome faz referência  a uma idosa que morava ali) fica no Município de Mateiros, com acesso por carro. Da recepção até a cachoeira caminha-se por uma extensa plataforma de madeira, o que dá ao passeio uma grande dose de aventura. O caminho é bonito e fácil. Lugar muito bonito. Cachoeira com grande volume de água. Fica no Rio Novo, maior rio de água potável do mundo.Não se pode tomar banho, mas é possível fazer rafting (R$ 170,00 em 2019). vale a visita.
22;A cachoeira é bonita e se chega até ela por uma plataforma de madeira. A entrada é gratuita. Por ser perigosa, não é permitido banho. Só mesmo para admirar. 
23;Uma cachoeira com quedas d'água grandes e lindas, uma vista a ser deslumbrada. Apenas a trilha ao seu lado que é muito rústica, poderia ser um pouco limpa para facilitar o acesso.
24;A cachoeira é linda demais. Lembra as cataratas do Iguaçu pelo enorme volume de água. É a maior do Jalapão. Dá pra fazer rafting que termina na prainha do Rio Novo.
25;A Cachoeira é linda, muito volumosa e deslumbrante! Ainda é possível fazer rafting! Nosso grupo fez e foi sensacional, com o pessoal da Novaventura! 
26;Acesso à cachoeira por uma passarela de madeira onde se pode chegar bem perto da queda d`água. Grande volume de água e muito linda. Desse local sai o rafting que é imperdível mesmo para quem nunca fez. No final do rafting você chega na prainha do rio novo e curte um rio com água fria mas muito relaxante.
27;Essa cachoeira impressiona pelo tamanho e volume de água em uma região caracterizada pela baixa umidade. Imperdível o rafting nas corredeiras abaixo da cachoeira. 
28;Local lindo, um maravilhoso contraste da abundância de água no meio do deserto. Corredeiras e quedas de tirar o fôlego. Tem como ponto mais pitoresco a possibilidade de se fazer o rafiting com o pessoal local.
29;Adorei conhecer está Cachoeira principalmente a árvore que existe no meio da Cachoeira muito bonito apreciar a natureza vale a visita 
30;Visitar a cachoeira na época de chuva, com o volume alto de água, fica demais!!Local para rafiting, isso se o rio não tiver muito agressivo.Vale a visita
31;Vale conhecer a cachoeira e a mesma tem uma correnteza que dá ideia como é as Cataratas do Iguaçu. Lindo lugar.
32;É a maior do parque do Jalapão. Como uma miniatura das cataratas do Iguaçu, possui lindas quedas daguas Descendo até o Rio Novo tem uma linda praia c um banho de rio fenomenal. O acesso se dá por uma velha fazenda que pertenceu a Pablo Escobar onde há vestígios da estrutura q ali era mantida.
33;Cachoeira encantadora! Fotos lindas! Vale a pena conhecer porque sairá de lá encantado! Se puder faça o rafting! 
34;Paisagem encaradora, ótima para tirar fotos e apreciar a natureza. Queda d'agua impressionante. Vale a pena conhecer.
35;Ótima para contemplação, pois por razões de segurança é imprópria para banho. Volume de água imenso. Em largura, possui cerca de 100 metros. Excelente para fotografias. Acesso fácil a partir de uma passarela e de um mirante.
36;Aspecto de catarata por conta do volume de água que desce, vale a pena a contemplação e fotos. A paisagem e o deck são maravilhosos.
37;local de beleza exuberante e propício para a prática de esportes radicais. É muito bom estar tão próximo da queda d'água.
38;A cachoeira da velha encanta pelo volume de água, similar a uma catarata. Acesso fácil, não adequada para banho dada a tamanha correnteza.
39;Lugar bonito para fazer observação de uma cachoeira bem grande. Da pra fazer belas fotos nesse cenário .
40;Fácil acesso através de rampas e escadas, uma visual muito incrível e grandioso .Vale a pena a visita! 
41;cachoeira com queda bem forte e encanta por ter uma arvore no meio da queda. é um atrativo usado pelos aventureiros do rafting. eu não fiz. apenas apreciei a vista e tirei algumas fotos. num da pra tomar banho aí senão a correnteza leva!rsfazendo um pequeno percurso, é possivel tomar banho onde a agua da cachoeira desagua. é chamada de prainha..
42;O visual é maravilhoso,bom acesso,lindas fotos.Cachoeira forte,requer atenção plena.O Rafting é pago à parte,custou RS 200,00 por pessoa em 09/2018.Fomos guiados por 07 dias pela Gêmeos Tour Jalapão e ficamos muito satisfeitos.
43;Linda e grande cachoeira. O acesso se dá através de uma trilha elevada é muito bom. Na cachoeira dá para tirar umas fotos lindas.
44;Local ótimo para prática de rafting! Se não for adepto, basta apreciar a linda vista da cachoeira! Ainda é possível banharse em um ponto mais abaixo onde o rio fica tranquilo.
45;A cachoeira da velha é linda, é a maior cachoeira da região e vale a visita. Não é ideal para banho.
46;Linda queda d´água, muito volumosa e grande extensão. Há uma passarela para se chegar até lá, vale a pena conhecer.
47;Cachoeira apenas para contemplação, mas vale a visita, tem um trilha suspensa de fácil acesso. Depois da contemplação da cachoeira fomos para uma praia do mesmo rio, um local ótimo para banho.
48;Mais uma beleza natural do Jalapão, esta cachoeira possui um alto volume de água, nos propiciando uma bela vista. Tem um ponto de acesso que pode ir de baixo de uma queda e curtir um banho de água gelada. Vale a pena conferir.
