id;coments
1;A praia com águas calmas e lugares com preços acessíveis. Ideal para tomar sol e para entrar no mar.
2;É uma praia que sofre com os detritos retirados dos inumeros manguezais existentes, mas sua areia é branca e muito boa para caminhada sob o sol.
3;Superagüi é muito frequentada por turistas na virada do ano, no carnaval e na Páscoa - os moradores falaram em cerca de 4 mil turistas nesses momentos - mas no restante do ano é bem tranquila. Há muitas belezas naturais - praias limpas, pássaros de diversas espécies, peixes, e até golfinhos. Apesar de tudo chegar à ilha de barco, a alimentação não é cara. Os campings e pousadas estão à beira mar ou muito próximos - a ilha é área de preservação e não se permite novas construções. Os restaurantes oferecem boa comida caseira a preço justo e convidativo. No período que estivemos lá, não havia mais os grandes barcos de linha, com menor custo - foi preciso utilizar os serviços dos táxis náuticos, no valor de R$ 50,00 por pessoa. Importante verificar o lugar do desembarque das embarcações maiores - no nosso caso, desembarcamos muito longe do camping, com duas crianças e muita bagagem, sob sol forte. Mas deu tudo certo e conseguimos um barco menor na volta, saindo da frente do camping. Ficamos no camping Tubarão, que tem banheiros novos e uma cozinha coletiva bem razoável, e tomadas nas árvores. As crianças (de 11 e 12 anos) podiam ir sozinhas à praia, pois quase não havia ondas, salvo no último dia, quando o mar estava um pouco agitado, mas nada comparado às praias que já frequentei no litoral de Santa Catarina. Muito tranquilo! Sentimos falta de presença do ICMBio, que tem sede na ilha. Os moradores relatam como as proibições (de plantar, de construir, etc) afetam suas vidas, mas não percebemos iniciativas que ajudem essas pessoas a terem uma renda digna e acesso a serviços. Parece não haver muitas alternativas para a juventude também, especialmente com a desestruturação das políticas de Educação do Campo. Para nós, valeu muito a pena!
4;A Praia Barra do Superagui, na vila, rende boas fotos com muitos barcos. Concentra a pequena infraestrutura turística da ilha. Não vi botos, mas parece que é comum avistá-los. Disseram que é gostoso tomar banho à noite na praia. Costuma ter água-viva, dependendo da época do ano. Em dezembro, tinha um pouco. Disseram que a Praia Deserta era melhor para banho por ter águas mais claras, mas acho que deve ter água-viva do mesmo jeito.
5;Um lugar belo, mas sem visuais alucinantes. Bom para ficar só sem o barulho de carros, sem a muvuca da praia.
6;"Eis um roteiro que vale super a pena para quem quer descansar e conhecer um pouco mais do litoral paranaense.Para chegar a ilha do superagui, eu e minha namorada pegamos um barco em Paranaguá-PR cujo valor cobrado foi de 40 reais por pessoa (somente ida). A embarcação comporta 20 pessoas e geralmente sai por volta das 9h da manhã e retorna as 16h da tarde, levando em torno de 40 min para percorrer o trajeto Paranaguá Ilha do Superagui.
Chegamos na ilha e logo de cara percebe-se uma estrutura bem rústica, sem muitos luxos, mas bem aconchegante. Ficamos no camping/pousada “Centauro”, onde nos foi cobrado a diária de 20 reais por pessoa no camping, que possui uma boa infraestrutura.Na ilha, quase não são aceitos cartões, então é bom ir preparado para pagar direto no dinheiro! Existe uma mercearia para eventuais necessidades, lanchonetes e na pousada “Sobre as Ondas” existe um restaurante que vende algumas porções.
Existe na ilha dois roteiros interessantes para se fazer na ilha: 1. Travessia da praia deserta até a divisa com a ilha do cardoso; e 2. Passeio de barco pela baia do Superagui. A travessia da praia deserta pode ser feita tanto a pé quanto de bike, que pode ser alugada com o local da ilha, mais conhecido como “Japa”. Ele faz um preço bem justo e cuida super bem das bikes, vale a pena conferir.
O passeio pela baia é feito por alguns moradores da ilha, é um passeio de barco, que na época, paguei 250 reais e fiz com o dono da pousada Centauro, o Sr. “Badejo”: conhecemos a baía, vimos golfinhos, conhecemos uma cachoeirinha num vilarejo baía a dentro e ao final da tarde vimos a revoada dos papagaios!
Ficamos 4 dias na ilha, porem não conseguimos conhecer a praia deserta por conta do tempo que virou repentinamente, mas com certeza voltaremos para curtir e aproveitar a paz que é a ilha do superagui!
"
7;Uma praia sem ondas, algumas casas, muita natureza, alguns poucos restaurantes. Lugar pra descansar!
8;É onde a maior parte da comunidade vive e onde ficam as pousadas. Possui uma bela paisagem, sendo que da areia é possível visualizar os golfinhos...entretanto, pelo grande número de cães residentes na ilha, precisa cuidar por onde pisa.
9;Além de der uma trilha extensa na areia para uma boa caminhada. Vale a pena fazer para admirar a bela da praia tanto do lado da mata como do mar.
10;Em épocas do ano, como o carnaval temos no local uma cultura típica com máscaras muito interessante e apreciada ! Escolham uma pousada de frente para o mar, pois quase todas as manhãs é possível ver dezenas de golfinhos saindo de uma ilha para outra, passando perto dos barcos que ficam atracados no local. Além da Ilha e comunidade local, disponibilizam passeios para ilhas próximos a custo baixo, dentre elas a Ilha dos Papagaios de Cara Roxa (só encontrados nesta Ilha no Brasil)
11;"Um ótimo lugar para se ter um contato com a natureza para longas caminhadas a beira mar sem se preocupar com nada. Alugar uma bicicleta e pedalar muito ; é tudo plano não tem nem, subidas e nem decidas é tranquilo e sem muito esforço."
12;A Ilha de Superagui é um ótimo destino, pousadas comuns possuem o necessário assim como o comercio que também é bem básico !!
13;A praia principal da Vila do Superagui é a própria vila. Cheia de barcos de pescadores e repleta de golfinhos saltitantes que parecem ser indiferentes aos banhistas. A água é bem quentinha e dá para nadar tranquilão e andar e pedalar pela faixa de areia.
14;não é a toa que se chama Parque Nacional do Superagui, reserva da Biosfera. patrimônio da Humanidade pela UNESCO
15;Onde tudo acontece na Ilha de Superagui...com suas pousadas, lanchonetes, bares, fandango e as pessoas maravilhosas que lá moram com todo seu carinho pelos visitantes.
16;A praia da Barra do Superagui é muito tranquila e de águas calmas. O por do sol e o amanhecer possibilitam visuais incríveis e um excelente ambiente para relaxar e descansar.
17;"Perfil do local: alternativo, para quem busca sossego. Para quem vai acampar é aconselhável levar comida pois o preço lá é mais caro devido ao isolamento. Se for na alta temporada leve muita água também. Fui em 2016 e por conta da quantidade de turistas não havia água potável. Nessa época há barcos indo e voltando diariamente de Paranaguá, os preços cobrados foram de R$ 30 para barcos e R$ 40 para ""voadeiras"", é só chegar no cais e embarcar. Após o carnaval até o ano novo o local recebe poucos visitantes, sendo o Réveillon a época mais movimentada."
18;O ambiente da Barra do Superagui é bem rústico, tudo simples e encantador. O pessoal nativo é acolhedor e prestativo. Ótimo local para descansar e se desligar da correria das cidades.
19;A Barra do Superagui é um lugar maravilhoso, onde também aportou em suas andanças, Hans Staden. É parte integrante do Município de Guaraqueçaba, teve o canal do Varadouro aberto por volta de 1947 (não lembro ao certo). É ideal para amantes da natureza, amigos e famílias que não tenham bebês pequenos. Você poderá desfrutar da bebida chamada cataia, que é o aguardente de cana envelhecido com a folha da cataia, conhecido nessa região como uísque caiçara, de excelente sabor e afrodisíaca.
20;Lugar tranquilo, sem muita estrutura de comércio ou estadias, vc vai encontrar poucas opções e bem simples.O melhor de todos é sentar a beira mar e ver os golfinhos que chegam muito próximos.O trajeto pode ser feito de barco da Ilha do mel a Superagui e voltar no mesmo dia.Vale a Pena
21;Não é um lugar que se busca por beleza. no fundo do mar é lodo, não areia, não é mar aberto então é calmo como uma lagoa de água salgada.É um lugar que vai te trazer paz de espirito. O céu a noite é maravilhoso. conseguimos ver varias constelações!
22;A praia tem águas tranquilas e mornas. Era possível ver golfinhos nadando muito perto dos banhistas. A cor da água era mais para marrom, creio que por causa da natureza da areia do local, mas parecia limpa. A praia é grande e podemos até nadar pelados sem sermos percebidos. 
23;Se estiver procurando uma boa aventura na natureza, esse é um lugar necessário. Vida simples de uma vila de pescador, passeio de barco e praia deserta.
24;É simplesmente um lugar encantador, As pousadas são todas bem rusticas, a praia deserta é simplesmente paradisíaco, o passeio ao que eles chamam de coroa também é muito bacana, tive a oportunidade de ver os botos de pertinho é um sensação maravilhosa pois ali a natureza é preservada, a noite caminhar na areia da pra ver varias especies de peixes e siris na água, alimentação é um pouco limitada a peixes e camarão então se não come peixe leva outros tipo de carne de casa. Um ótimo restaurante é o restaurante dos golfinhos comida super caseira alias de todos os restaurantes que fomos tudo la é bem caseiro. Eu adoro esse lugar e pretendo voltar sempre!
25;É a praia aonde chegam os barcos e aonde fica a maioria das casas dos pescadores. Ainda é possível avistar os botos se exibindo. Tem um pôr do sol muito bonito.
26;Areia e paisagens incríveis... Paz, sossego, trilhas e pousadas simples e rústicas....Muito Legal! recomendo passeio pelas praias desertas.
27;Decidimos ir almoçar em um domingo na praia de Superagui para conhecê-la e comer um peixe fresco. Infelizmente quando chegamos lá, não encontramos absolutamente nenhum restaurante que pudesse nos atender. Havia restaurantes abertos, mas todos negaram nos atender, pois não havíamos feito reservas. Sinceramente, achei que faltou um pouco de boa vontade.
28;O centrinho da ilha, onde tudo acontece. Chegadas e partidas, trapiche, restaurantes, bares e pousadas estão por ali!
29;Praia linda e tranquila. A ilha possui uma vila de pescadores que vivem em sua maioria da pesca de camarao. Nessa vila ha pousadas e acampamentos simples e aconchegantes. A visita de golfinhos é constante. Lugar muito bom.. Recomendo.
30;Tudo na ilha é bonito, existem diversos lugares para se explorar e se deliciar com as imagens que a natureza proporciona!
31;A praia da Barra é onde tem mais moradores, pousadas e o trapiche por onde chegam os barcos. Dali saem os pescadores para trazer alimento saudável para os visitantes.É aconchegante
32;É uma praia na qual os barcos ficam aportados e da onde é possível ver a Ilha das Peças. As pousadas e camping estão nessa praia e de lá saem barcos para Paranaguá e também pode-se fazer passeios até a ilha das Peças. Bem cedinho é possível ainda avistar golfinhos bem perto da praia.
33;Meu marido foi e voltou falando maravilhas e quis me levar. Uma amiga também disse que era lindo. Minha experiência foi ruim!! O mar estava bem sujo, escuro e tinha tanto cachorro na ilha que era impossível andar na areia sem ver várias surpresas... Adoro cachorro, mas na areia da praia e naquela quantidade não combina.
34;Uma praia calma, pouco habitada, mas muito boa para curtir a natureza.Vale passar o dia com amigos nessa praia
35;A praia tem muitos barcos, já que é por onde se acessa a ilha de Superagui. Mesmo assim é uma praia bonita e tem alguns pontos onde é melhor para banho. Praia bem calma.
36;"Aqui voce verá as crianças, filhos dos ""nativos"", brincando na praia do rio que desemboca no mar, só você e eles, muitas tranquilidade, o pessoal aqui é muito bacana"
37;Um Rio que desagua no mar é um dos poucos pontos turísticos da ilha, boa para tomar banho e brincar, aqui você está em contato direto com a natureza, sem muita opção de conforto, é diversão e aventura.
38;A praia é linda, e o pôr do sol e o ponto mais forte. Cavalos e barcos passam a todo momento e o céu tem as cores mais vibrantes que eu já vi. O único ponto ruim é o chão embaixo da água que é lodoso.
39;A praia é linda. Lugar tranquilo. Ótimo para desligar do agito do dia a dia. Alugue bike, a trilha fica muito mais legal.
40;Local mágico...água limpa e refrescante, depois de uma boa trilha, um banho de mar é o melhor que pode existir. Recomendo a ilha, pois fui em dia de semana em janeiro e estava muito tranquila.
41;No dia 31/12/2016 as margens do lagamar em Cananéia peguei uma embarcação sentido Maruja, no primeiro dia do Ano de 2017 por volta das 6:00 hs segui ao meu destino pedalando pelas praias da ilha do Cardoso da praia do Maruja sentido praia pontal Leste, com muita sorte consegui fazer a travessia de barco para o lado do Paraná na Ilha do Superagui e voltei a pedalar e logo avistei a Praia deserta, lugar mágico! Algumas horas de pedalada avistei algo parecido com uma garagem de barco com uma placa escrito temos salgados, logo parei e fui informado que não tinha Pastel pela dona do local Sra.Rose que logo me apresentou o Sr Odair seu esposo que tirou água do lençol freático geladinha, onde me hidratei e aceitei o convite para o almoço passei quatro dos nove dias de viajem na praia deserta com a Família do Sr Odair e Sra Rose e suas crianças Estefani, Dafner e Nathan e uma outra visitante karine. Depois do quarto dia segui viagem até a vila do superagui onde conheci o fandango e a cataia, após duas noites de fandango, atravessei de barco a remo para a ilha das peças e contornei a mesma até chegar no vilarejo onde peguei uma embarcação sentido o continente na cidade Pontal SUL antes passando pela Ilha do Mel e Ilha da Cotinga de Pontal Sul pedalei até Matinhos e dormi uma noite e no dia seguinte meu ultimo dia de pedalada segui até o Destino Final em Guaratuba na casa do meu Amigo ( SERGIO BENDER) um reencontro após 27 anos, onde comemoramos o feito com churrasco e cerveja no dia seguinte 10/01/2017 peguei o ônibus sentido Coritiba onde fiz baldeação para São Paulo! Tudo foi surpreendente mas a PRAIA DESERTA DA ILHA DO SUPERAGUI é algo exuberante a noite mais linda que ja experimentei! Obrigado!
42;a trilha com natureza exuberante até a praia é bem longa, mas vale a pena. Leve repelente e filtro solar.
43;A praia deserta é linda! Aliás! Superagui é toda linda! Mas a praia deserta é uma excelente opção para fugir dos usuários de drogas q infestam a praia toda, principalmente em frente aos campings! Estive no réveillon e fiquei impressionada com o uso liberado de maconha e outras drogas ilícitas já dentro do barco para chegar até a ilha! Todos são coniventes! Está tudo em nossa frente! Não recomendaria nunca levar crianças para esse lugar! Lamentável um local tão maravilhoso abandonado pela fiscalização, governo e polícia! Uma ilha onde tudo, literalmente é liberado e saltando aos nossos olhos sem q possamos fazer alguma coisa!!! Sinceramente espero q esse cenário mude!
44;É uma praia completamente isolada, só acessivel por trilha, a pé ou de bicicleta. A trilha é boa e limpa, as pontes são novas. Leve água e lanche. A pé cerca de 3 horas e de bicicleta aproximadamente 1 hora e 30 minutos.
45;Da vila, com uma pedalada de aproximadamente 40 minutos, é possível chegar nesta praia extensa e maravilhosa, quilômetros de praia deserta, você pode escolher um local e curtir com exclusividade.Com um bônus: no final da praia, quase na ponta, reencontrando a baia de Paranaguá, os rios da região desaguam, formando um lago de água escura, porém limpa e morna.
46;A Praia Deserta, com morros ao fundo, segue a perder de vista e parece completamente deserta, mas tem 3 moradores e até um camping. Como é longa, a densidade demográfica é tão baixa, que pode ser considerada deserta mesmo. Tem algumas dunas baixas e um rio/lagoa cor de Coca-cola, com peixes bem pequenos e siris. O rio vai afinando até desaguar bem estreito, com largura de aproximadamente 1 m na praia, na maré baixa. Vimos um barranco com vegetação na praia, parece que o mar está escavando a areia. Na maré alta, parece que a água bate na vegetação. Não acho que isso impeça a passagem pela praia, mas talvez molhe os pés (e queira ir de papete). Na maré baixa, formam-se piscinas rasas à beira da praia. Disseram que tinha muito lixo na beira mar e dunas, mas não vi, não. Nem lixo trazido pelo mar, nem lixo jogado diretamente na praia. Talvez dependa da época do ano e das correntes marítimas.A trilha que parte da Barra do Superagui até a Praia Deserta é bem tranquila e dá para ser feita a pé ou de bicicleta. Decidimos ir a pé pela trilha e voltar pela praia para curtir 2 caminhos diferentes. É fácil encontrar o início da trilha, pois qualquer pessoa da vila pode te indicar. Seguimos pelo caminho ao lado da igreja. Não tem erro, basta ir seguindo em frente, pelo caminho mais aberto. A vila acaba e o caminho continua dentro da mata. Tem área mais fechada com sombra e mais aberta com sol. Também dá para fazer o contrário, da praia à vila, mas terá que procurar a saída da praia para a trilha que não é sinalizada, nem demarcada. Tinha um poste e 2 lixeiras bem no local onde a trilha desemboca na praia, mas lembro de ter visto uma lixeira em outro ponto da praia, já mais perto da Barra do Superagui. Também é provável que não tenha ninguém para pedir informação. A trilha é plana com pontes de concreto e passarelas de madeira sobre o rio e áreas alagadas. Li em alguns relatos que as passarelas de madeira estavam destruídas e tinha que passar por dentro dos córregos, mas acho que deram uma boa manutenção na trilha, pois as passarelas estavam em bom estado de conservação. A trilha corta uma área de mata e tinha mutucas que ficaram incomodando, voando em volta da cabeça, mas não fomos picados, pois saímos de calça comprida e camiseta de mangas longas. Na praia praticamente não tinha mutucas, porém disseram que no mês anterior até a praia estava infestada desses insetos. Tem um rio que forma uma espécie de lagoa cor de Coca-cola bem bonita. O rio vai afinando até desaguar bem estreito, com largura de aproximadamente 1 m na praia, na maré baixa. Vimos um barranco com vegetação na praia, parece que o mar está escavando a areia. Na maré alta, acho que a água bate na vegetação, mas nada que impeça a passagem, provavelmente só irá molhar o calçado. Forma piscinas rasas à beira da praia. Estavam iniciando as obras de construção de uma passarela ligando a sede do Parque Nacional do Superagui até a trilha.
47;Tirando as botucas, que só ocorrem no mês de novembro, a trilha que leva a praia é maravilhosa e a praia lindíssima.
48;Da vilinha até a praia deserta há uma trilha pela mata que pode ser feita a pé ou de bicicleta. A praia deserta é enorme, você pode andar o dia todo nela e não encontrar ninguém. è uma sensação de que está sozinho no mundo.
49;Lugar paradisíaco, porém os governantes deveriam ter um olhar para a ilha pois há muitos cachorros e até cavalo soltos precisando de cuidados.
50;Como o nome já diz é uma praia onde não há grande movimento de pessoas, o acesso se dá através de uma trilha, entretanto, apesar das poucas pessoas há marcas indeléveis da presença humana...havia uma quantidade razoável de lixo (garrafas, latas, bitucas de cigarro) por lá.
51;vale a pena conhecer este lugar, natureza quase selvagem um recanto muito bonito. Onde ainda é preservado.
52;Locamos bikes para fazermos a trilha de mais ou menos 6km, a trilha é de areia e passa por dentro da mata, uma vibe incrível! Quando chegamos na praia foi demais, ela é linda! Voltamos quando o Sol tava quase se pondo e foi um momento muito especial, pois o lugar tem uma energia muito boa!
53;Ótimo para passar o dia com os amigos em meio da tranquilidade de uma praia quase sem movimentação de pessoas. A praia é repleta de colchas pela areia e proporciona um ótimo visual.
54;A visão que tu tens lembra de praias que se vê em filme onde os desbravadores chegam pela primeira vez: vasta, deserta, gigante e rodeada pela serra. Há 2 caminhos para se chegar ate lá: uma trilha de 45 minutos aprox. por dentro da mata.Pode ser feita durante o dia como a noite. Se fizer a noite precisa de alguém que conheça a trilha. Tem uma variedade de bichos, insetos. E os plânctons nas lagoas que desembocam no mar...parecia filme do avatar! incrível! Durante o dia pela trilha o repelente não pode faltar. Uma outra alternativa seria pela praia mas aconselho durante o dia pois a noite a maré sobe. Levar água, comida é essencial.
55;muito bom !!! dá para alugar bikes no Japa próximo a igreja catolica, as bikes são bem usadas mas da pra usar, fazer a trilha com elas sem problemas ate a praia deserta é show!!
56;A experiência de ficar de boa na beira do córrego que deságua no mar perto da Praia Deserta de Superagui é algo praticamente indescritível. Seja pela orla, seja pela trilha o acesso é muito gostoso (não dá uma hora de caminhada, uns 20 minutos de bicicleta pela praia) e a recompensa são lagoas que se mesclam com o mar, moldando a areia e dando um refresco com uma correnteza suave e deliciosa em dias de sol. Simplesmente espetacular.
57;Praia linda, uma beleza difícil de encontrar nos últimos tempos, vale muito a pena conhecer, não esquecer de levar muita agua e comida, afinal a praia é deserta, se for pela trilha, cuidado com as pontes. Passar muito protetor solar e levar chápeu
58;"Lugar lindo e maravilhoso com toda a exuberância da mata nativa ao redor, com um rio de desemboca no mar...um belo visual para uma caminhada em meio a mata. Não esquecer de levar muito repelente pois as butucas ou ""porvinhas"" costumam fazer a festa nesta trilha. Cuidar muito das crianças, bezuntar com repelente e protetor solar. Mas vale a pena a caminhada!!!"
59;"Terceira vez que pisava na ilha e com um objetivo, ir de bicicleta sozinha até a Barra da Ararapira. Dizem que são 36 km só de ida, e tem que voltar igual. Aluguei a bicicleta um dia antes e às 9 horas depois de um café peguei a trilha para chegar na praia deserta. Apesar de ser carnaval, continuava quase deserta quando desemboquei na praia. Algumas pessoas treinando para triathlon e nada mais. Areia dura, maré ainda baixa e lá fui eu com 30 graus, céu limpo e só com uma garrafinha de água, na metade me apavorei pela falta do líquido, mas não era miragem, uma placa improvisada vendia pastéis e ÁGUA!!! no rancho do seu Odair, dona Rose e os filhotes Natan,Me abasteci e sai pedalando e a partir dali não encontrei mais ninguém, só aves, siris, peixes e o único som que se ouvia era o do mar e da brisa. 360 graus de pura solidão e algumas paradas para refrescar mergulhando os tornozelos e deitando no raso por medida de segurança. Cheguei na Barra mais de meio-dia e infelizmente não deu para atingir a pequena vila pois a maré não ajudou e a bike atolava, então, caminho de retorno, sem água e sem comida mas sabendo que logo ali, uns15 km, teria os pastéis da dona Rose e água em abundância. Meia volta e maré subindo a toda velocidade começaram os tropeços, ou melhor os encalhamentos dos pneus na areia mole. 500 metros de pedalada e mais 5 km empurrando a ""duas rodas"" e assim foi o retorno, com gargalhadas solitárias, delírios de cansaço e horizonte infinito que não chegava nunca, mas cheguei, às 18 horas, sã, salva, cansada e realizada por ter conseguido realizar mais um sonho e com 62 anos de valentia. Vale a pena demais, descrevi a saga porque a emoção não se descreve, se sente."
60;Andando pela praia por uns 3 km ou pela trilha é possível chegar lá. Mas o legal mesmo é alugar uma bicicleta e pedalar além da saída da trilha. São quilômetros sem encontrar absolutamente ninguém. Nem casas, nem pessoas, nada, só gaivotas, fragatas, trinta-réis e outros tipos de aves que a gente não costuma ver sempre. Vale muito à pena!
61;"Vale a pena alugar um bicicleta com o Fabrício na vila e pedalar pelos quilometros de praia deserta. É necessário um pouco de planejamento e disposição. Sendo necessário levar água e comida, afinal não há qualquer opção ao longo da praia.
É possível se reabastecer de água potável no Camping da Dona Rosa, localizado a uns 15 km da vila do Superagui,Importante ficar atento a maré, pois é muito mais fácil pedalar com a maré baixa."
62;"Perfil do local: alternativo, para quem busca sossego. Para quem vai acampar é aconselhável levar comida pois o preço lá é mais caro devido ao isolamento. Se for na alta temporada leve muita água também. Fui em 2016 e por conta da quantidade de turistas não havia água potável. Nessa época há barcos indo e voltando diariamente de Paranaguá, os preços cobrados foram de R$ 30 para barcos e R$ 40 para ""voadeiras"", é só chegar no cais e embarcar. Após o carnaval até o ano novo o local recebe poucos visitantes, sendo o Réveillon a época mais movimentada."
63;A trilha para a praia deserta é maravilhosa de se fazer, é bom alugar bikes pois se torna cansativo com o sol forte. Deve-se levar água e comida já que na praia deserta não tem nenhum lugar para vender.
64;A Praia Deserta tem 32 km de extensão, ideal para qualquer estação do ano, onde se pode passear sozinho, com companheiro ou ainda em família. É possível fazer passeios de bicicleta ou carroça, chegando até a divisa com o Estado de São Paulo.
65;Pra chegar a praia deserta tem que fazer uma trilha de 1h, 1h e 30. A trilha não é difícil e também é muito linda cercada por mato. Fora da temporada você encontra aquela extensão toda praia totalmente vazia, é realmente incrível.
66;Vale a caminhada. Leve protetor, repelente, agua e o que for comer. A praia, como diz o nome, eh deserta. Nao tem onde adquirir nada. Eh linda. Cuidado com o mar.
67;Uma boa caminhada na trilha para ir e para voltar fomos curtindo o mar aberto! lindo e calmo. ideal para quem quer paz e sossego!
68;Para chegar até a praia deserta fui pela trilha, é muito fácil chegar até a praia por lá, bemcomo pelo trajetofeito pela beira da praia.A praia é maravilhosa, super indico, dá para fazer altas fotos massa.
69;O passeio pela baia é muito bom. Em todos os lugares se avistam bichos aquáticos e voadores. A praia deserta é show!
70;Praia totalmente deserta para quem gosta de bastante contato com natureza, mar revolto, excelente trilha na ida e retorno pela praia para quem gosta de aventuras
71;Peguei a trilha e cheguei em 40 minutos. A praia é paradisíaca. Voltei pela praia e foi bem cansativo, no caminho tem que atravessar um rio que vai até a cintura. Levem água!!!!!
